layer,figure,m,k,g,n,error_mean,error_std,bound_mean,bound_std
9,prompt,2,1,0,400,0.010150911847092665,0.004228794348324643,1.181754948969236,0.47512070549856095
9,prompt,4,1,0,400,0.027082670395088937,0.011024802279934867,1.8867115759466606,0.755946822945551
9,prompt,8,1,0,400,0.05066762078332582,0.020447235183437863,2.4078612637884462,0.9016205276174558
9,prompt,16,1,0,400,0.0759159873968169,0.0328605147297924,2.9994819821869565,1.0603628760968504
9,prompt,32,1,0,400,0.12637124484483125,0.05304475625244495,3.774677860351805,1.2195613216876913
9,prompt,64,1,0,400,0.19311064545344092,0.07007624660127551,4.5913188470697905,1.3118567990133483
9,prompt,128,1,0,400,0.25122112312729317,0.08324415564639652,5.282714879039904,1.3302660783881668
9,steering,4,1,0,95,0.01325801130386196,0.005320201044226174,1.8830899130426995,0.7320196184969596
9,steering,4,2,0,95,0.01197564616617506,0.005137207327319882,1.7146132375206486,0.6368625007884979
9,steering,4,4,0,95,0.01124624923229726,0.005735158968663588,1.5774051818148038,0.5891812902565683
9,steering,4,4,4,95,0.060319102335395516,0.027043560455183847,2.6757107483085605,0.6492124610885388
9,steering,4,4,12,95,0.16529297747474025,0.06634231010063314,3.7101473964656995,0.8108695437222814
9,steering,4,4,28,95,0.32234617339019656,0.11355787277542789,4.529216686879198,0.8802582954059536
9,steering,4,4,60,95,0.5751580907267161,0.1686388286626603,5.4172779796787145,0.9484114834400255
9,steering,4,4,124,95,0.9298002920802868,0.21928546383297687,6.479083149800263,1.032917363318817
9,steering,4,8,0,95,0.010872271561886833,0.0064207296151296165,1.5740508234555561,0.537611390056152
9,steering,4,16,0,95,0.009895060880326661,0.006241003570608457,2.0485257622924222,0.5865853302154747
9,steering,4,32,0,95,0.009246856570126418,0.006103252227186995,2.2681209782419924,0.551283770474293
9,steering,4,64,0,95,0.00883996480126198,0.005923815529211126,2.636973070093161,0.6386340473841433
9,steering,4,128,0,95,0.009103199320847594,0.005943771172790793,3.1883872993067603,0.851948363890359
18,prompt,1,1,0,400,0.026959181956711632,0.01349966882562938,8.831376336998616,2.5074309748156205
18,prompt,2,1,0,400,0.04774124921452998,0.02668804769234782,12.279228106422229,3.4828319089806095
18,prompt,4,1,0,400,0.08175103973764189,0.04660655095850457,16.903132025052074,3.6439841943700637
18,prompt,8,1,0,400,0.15137616996031023,0.09462943328636599,19.58901408135359,4.788616357337732
18,prompt,16,1,0,400,0.27832359477801655,0.19364587470539513,23.122031889932483,5.031572887055965
18,prompt,32,1,0,400,0.578291708415889,0.46533419213320104,27.0755166787681,5.3251576195670145
18,prompt,64,1,0,400,0.9930490254560718,0.8702760212684268,30.80226621106618,6.224187062424896
18,prompt,128,1,0,400,1.613361378199705,1.486740669260392,36.785080500050206,7.499884898999319
18,steering,4,1,0,95,0.05619215233072792,0.029266017798165827,18.0324675804758,3.6785880418471173
18,steering,4,2,0,95,0.05267671218109955,0.026726519216817887,18.103465405490827,3.754954989897128
18,steering,4,4,0,95,0.050582388231818834,0.025359831040388782,19.272752610802918,3.9761294923804105
18,steering,4,4,4,95,0.043209368356593496,0.017073222794511296,21.955808576450245,3.7684697177661213
18,steering,4,4,12,95,0.05901165720918351,0.024779599633840608,27.097692507188214,5.8045107941732645
18,steering,4,4,28,95,0.1304251676126824,0.06730552315525169,30.9036412176474,6.22002725956653
18,steering,4,4,60,95,0.3003432052000258,0.18677737036883027,37.29065307091314,7.6861520130929835
18,steering,4,4,124,95,0.6248099180256957,0.39354580009000645,43.98434945154595,6.121749597695931
18,steering,4,8,0,95,0.04752834919033186,0.023982221208220494,19.78647519731489,3.9865355543442305
18,steering,4,16,0,95,0.04489736984604514,0.021824774813149605,24.636187009139295,6.374027824873467
18,steering,4,32,0,95,0.04195587279627643,0.019101137049377156,27.575054230288224,7.123680084491883
18,steering,4,64,0,95,0.04197585452115213,0.017555567766998872,33.2521088615571,7.681069658287043
18,steering,4,128,0,95,0.043379447743307105,0.01805891209976017,38.452311897724094,8.215763980842482
27,prompt,1,1,0,400,0.2226695410429479,0.7001306181463385,18.051077064669144,7.101937344388177
27,prompt,2,1,0,400,0.4625460270336428,1.1649780714302485,24.147187946350186,4.765113611229465
27,prompt,4,1,0,400,0.6590555053425444,1.2831249783919993,26.903602025840364,2.725005761027044
27,prompt,8,1,0,400,0.9588975223964311,1.3509090184326114,28.04048453054236,1.5867954093011247
27,prompt,16,1,0,400,1.2428455028981265,1.584800749316241,28.18090415104874,1.4692761252075883
27,prompt,32,1,0,400,1.302467880374109,1.6075282004102938,28.267887136480905,1.3686568866543052
27,prompt,64,1,0,400,1.4008392118896251,1.6401207891092544,28.481735930618417,1.2551818014367901
27,prompt,128,1,0,400,1.4316352604975797,1.6532570476567665,28.603441566333576,1.2229404982708805
